index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
103,0.921687,0.341428,0.257249,0.420762,0.125659,-0.0857909,-0.0115737,0.442307,0.317919,0.145817,0,0,0,0.299238,0.218144,-3.18704e-13,1.57365,18.4742,331.162
104,0.930723,0.348829,0.262668,0.424135,0.126446,-0.103429,-0.0100226,0.462853,0.333038,0.161702,0,0,0,0.299238,0.218144,-3.18704e-13,0.166129,20.3749,348.865
105,0.939759,0.356232,0.268169,0.428122,0.127119,-0.115935,-0.00984112,0.479389,0.345247,0.174752,0,0,0,0.299238,0.218144,-3.18704e-13,-0.20917,20.7915,352.536
106,0.948795,0.363634,0.273754,0.432725,0.127694,-0.122462,-0.0114107,0.491705,0.354343,0.184495,0,0,0,0.299238,0.218144,-3.18704e-13,-0.203201,19.078,323.787
107,0.957831,0.371035,0.279415,0.437829,0.128182,-0.122773,-0.0149694,0.500359,0.360734,0.19134,0,0,0,0.299238,0.218144,-3.18704e-13,-0.173129,15.6896,266.442
108,0.966867,0.378436,0.28514,0.44321,0.128569,-0.117354,-0.0204895,0.505996,0.364897,0.195799,0,0,0,0.299238,0.218144,-3.18704e-13,-0.128684,11.3842,193.41
109,0.975904,0.385836,0.290911,0.448577,0.128827,-0.107318,-0.0276726,0.509264,0.367311,0.198384,0,0,0,0.299238,0.218144,-3.18704e-13,-0.0795967,6.91966,117.597
110,0.98494,0.393235,0.296711,0.453631,0.12893,-0.0941724,-0.0360215,0.510808,0.368451,0.199605,0,0,0,0.299238,0.218144,-3.18704e-13,-0.0355973,3.05387,51.9123
111,0.993976,0.400635,0.302525,0.458111,0.128871,-0.079463,-0.0449756,0.511275,0.368796,0.199975,0,0,0,0.299238,0.218144,-3.18704e-13,-0.00641634,0.544761,9.26208
112,1.00301,0.408034,0.308341,0.461852,0.128665,-0.0643282,-0.0540997,0.511307,0.368819,0.2,-0.101882,-0.0504646,2.39906,0.299243,0.218146,4.71319e-06,0,0,0
113,1.01205,0.415432,0.314158,0.464828,0.128324,-0.0493467,-0.0631636,0.511307,0.368819,0.2,-1.46784,-0.726833,34.5532,0.299563,0.218257,0.000301644,0,0,0
114,1.02108,0.422824,0.319971,0.467163,0.127877,-0.0353511,-0.0718291,0.511307,0.368819,0.2,-3.99833,-1.97909,94.0845,0.30098,0.218747,0.00161662,0,0,0
115,1.03012,0.430199,0.325776,0.469091,0.127387,-0.0235844,-0.0796163,0.511307,0.368819,0.2,-7.1457,-3.53521,168.061,0.304318,0.219902,0.00471319,0,0,0
116,1.03916,0.437544,0.331567,0.470906,0.126943,-0.0153357,-0.0860776,0.511307,0.368819,0.2,-10.3623,-5.12317,243.551,0.310398,0.222007,0.0103549,0,0,0
