index,time,x_b,y_b,z_b,th_z,th_y,th_x,x0,y0,z0,fx0,fy0,fz0,x1,y1,z1,fx1,fy1,fz1
110,0.98494,0.176916,0.437472,0.501846,0.177483,0.238769,-0.0138826,0.307623,0.453324,0.000500129,0,0,0,0.0444905,0.42646,-2.82247e-11,1.55233,-1.76424,40.6544
111,0.993976,0.184518,0.4427,0.503632,0.181369,0.257968,-0.00341372,0.30813,0.454035,3.20082e-05,0,0,0,0.0444905,0.42646,-2.82247e-11,0.276884,-0.314678,7.25174
112,1.00301,0.192121,0.447925,0.504667,0.18549,0.277552,0.00707535,0.308164,0.454083,-5.38673e-11,0.0261631,0.167689,2.01299,0.0444946,0.426467,5.36533e-06,0,0,0
113,1.01205,0.199725,0.453153,0.50493,0.189862,0.29695,0.017671,0.308164,0.454083,-5.38673e-11,0.376916,2.4159,29.0001,0.0447478,0.426868,0.000343383,0,0,0
114,1.02108,0.207331,0.458391,0.504526,0.194534,0.315222,0.0285146,0.308164,0.454083,-5.38673e-11,1.02662,6.58061,78.9893,0.0458691,0.428646,0.00184032,0,0,0
115,1.03012,0.214941,0.463658,0.503652,0.199556,0.330899,0.0397606,0.308164,0.454083,-5.38673e-11,1.83455,11.7603,141.154,0.0485097,0.432833,0.00536536,0,0,0
116,1.03916,0.222559,0.468972,0.502555,0.204936,0.342375,0.0514686,0.308164,0.454083,-5.38673e-11,2.65999,17.0533,204.67,0.0533207,0.440461,0.0117877,0,0,0
117,1.04819,0.230187,0.474356,0.501485,0.210607,0.3483,0.0635391,0.308164,0.454083,-5.38673e-11,3.36223,21.5582,258.709,0.0609532,0.452562,0.0219765,0,0,0
118,1.05723,0.237829,0.479826,0.500657,0.216427,0.347861,0.0757101,0.308164,0.454083,-5.38673e-11,3.80054,24.3734,292.446,0.0720582,0.47017,0.036801,0,0,0
119,1.06627,0.245486,0.485394,0.500202,0.222213,0.340951,0.0876181,0.308164,0.454083,-5.38673e-11,3.80674,24.8989,297.838,0.0872718,0.494279,0.0570957,0,0,0
120,1.0753,0.253159,0.491064,0.500155,0.22779,0.328132,0.0989119,0.308164,0.454083,-5.38673e-11,3.13496,25.0921,292.192,0.106694,0.524595,0.0824726,0,0,0
121,1.08434,0.260843,0.496836,0.500497,0.233041,0.31029,0.109367,0.308164,0.454083,-5.38673e-11,1.95717,25.427,282.309,0.129757,0.55922,0.111024,0,0,0
122,1.09337,0.268536,0.502712,0.501189,0.237912,0.288417,0.118896,0.308164,0.454083,-5.38673e-11,0.521217,25.8338,270.266,0.155855,0.596155,0.140746,0,0,0
123,1.10241,0.27623,0.508694,0.502184,0.242398,0.263506,0.127508,0.308164,0.454083,-5.38673e-11,-0.925068,26.2426,258.139,0.184377,0.6334,0.169635,0,0,0
124,1.11145,0.283921,0.514782,0.503432,0.246517,0.236494,0.135252,0.308164,0.454083,-5.38673e-11,-2.13384,26.5836,248.007,0.214717,0.668958,0.19569,0,0,0
125,1.12048,0.291604,0.520979,0.504895,0.250299,0.208222,0.142147,0.308164,0.454083,-5.38673e-11,-2.85726,26.7869,241.945,0.246265,0.700828,0.216906,0,0,0
126,1.12952,0.299275,0.527286,0.506549,0.253774,0.179428,0.148119,0.308164,0.454083,-5.38673e-11,-3.29857,26.9419,241.931,0.278411,0.727073,0.231351,0,0,0
127,1.13855,0.306932,0.533703,0.508393,0.256975,0.150837,0.15299,0.308164,0.454083,-5.38673e-11,-5.7007,27.8449,247.892,0.310482,0.747143,0.238723,0,0,0
128,1.14759,0.314564,0.540233,0.510452,0.25995,0.123398,0.15659,0.308164,0.454083,-5.38673e-11,-9.71529,29.355,257.857,0.341744,0.76188,0.240351,0,0,0
129,1.15663,0.322155,0.546885,0.512763,0.262748,0.0983096,0.158772,0.308164,0.454083,-5.38673e-11,-14.5189,31.1625,269.782,0.371461,0.772182,0.237631,0,0,0
130,1.16566,0.329688,0.553663,0.515375,0.265415,0.0769398,0.159377,0.308164,0.454083,-5.38673e-11,-19.2882,32.9572,281.625,0.398895,0.778952,0.231965,0,0,0
131,1.1747,0.337142,0.560575,0.518334,0.267978,0.0607139,0.158203,0.308164,0.454083,-5.38673e-11,-23.1998,34.4292,291.344,0.42331,0.78309,0.224749,0,0,0
132,1.18373,0.344503,0.567628,0.521678,0.270436,0.0509798,0.154995,0.308164,0.454083,-5.38673e-11,-25.4301,35.2686,296.895,0.443969,0.785497,0.217383,0,0,0
133,1.19277,0.351762,0.574824,0.525426,0.272756,0.0488385,0.149448,0.308164,0.454083,-5.38673e-11,-25.1506,34.6459,291.512,0.460182,0.787046,0.21121,0,0,0
134,1.20181,0.358919,0.582159,0.529544,0.274861,0.0548722,0.141306,0.308164,0.454083,-5.38673e-11,-22.2483,30.6478,257.882,0.472018,0.788168,0.206694,0,0,0
135,1.21084,0.365988,0.589617,0.533901,0.276639,0.0688205,0.130575,0.308164,0.454083,-5.38673e-11,-17.6006,24.2453,204.015,0.480152,0.78894,0.203591,0,0,0
136,1.21988,0.372984,0.597174,0.538282,0.277962,0.0895914,0.117563,0.308164,0.454083,-5.38673e-11,-12.1384,16.7209,140.703,0.48528,0.789426,0.201634,0,0,0
137,1.22892,0.379932,0.604798,0.542438,0.278729,0.115482,0.102813,0.308164,0.454083,-5.38673e-11,-6.79247,9.3568,78.7367,0.488094,0.789693,0.200561,0,0,0
138,1.23795,0.38685,0.612463,0.546123,0.278899,0.144521,0.0869798,0.308164,0.454083,-5.38673e-11,-2.49376,3.43521,28.9074,0.489289,0.789806,0.200105,0,0,0
139,1.24699,0.393758,0.620143,0.54914,0.278499,0.174929,0.0706608,0.308164,0.454083,-5.38673e-11,-0.173098,0.238447,2.00655,0.489559,0.789832,0.200002,0,0,0
140,1.25602,0.400663,0.627825,0.551387,0.277565,0.205576,0.0542342,0.308196,0.454104,4.88359e-05,0,0,0,0.489563,0.789832,0.2,0.665724,-1.40615,7.36353
